kernel_id,run_name,mode,kname,status,t_arrival,t_scheduled,t_configured,t_completed
233,parallel,Tiled,saxpy,COMPLETED,381665106094,381707072373,381707074760,381707076544
234,parallel,Tiled,matmul,COMPLETED,381665106178,381707076567,381707078875,381713943322
235,parallel,Tiled,matmul,COMPLETED,381665106271,381707109641,381707111985,381713976615
236,parallel,Tiled,saxpy,COMPLETED,381665106374,381707119686,381707121963,381707124888
237,parallel,Tiled,2mm,COMPLETED,381665106443,381755017676,381755022309,381761858095
238,parallel,Tiled,2mm,COMPLETED,381665106520,381761667290,381761671988,381768520020
239,parallel,Tiled,saxpy,COMPLETED,381665106578,381707122286,381707124633,381707127489
240,parallel,Tiled,saxpy,COMPLETED,381665106698,381707124910,381707127235,381707130104
241,parallel,Tiled,saxpy,COMPLETED,381665106769,381707127515,381707129836,381707132758
242,parallel,Tiled,matmul,COMPLETED,381665106898,381707130129,381707132468,381713998516
243,parallel,Tiled,saxpy,COMPLETED,381665107046,381707132782,381707135145,381707136943
244,parallel,Tiled,saxpy,COMPLETED,381665107142,381707136977,381707139315,381707141082
245,parallel,Tiled,2mm,COMPLETED,381665107192,381761700709,381761705365,381768553514
246,parallel,Tiled,saxpy,COMPLETED,381665107247,381707141098,381707143414,381707145309
247,parallel,Tiled,matmul,COMPLETED,381665107349,381707145334,381707147784,381714014129
248,parallel,Tiled,matmul,COMPLETED,381665107489,381713795925,381713798278,381720656373
249,parallel,Tiled,2mm,COMPLETED,381665107558,381761734617,381761739254,381768587398
250,parallel,Tiled,2mm,COMPLETED,381665107673,381761858138,381761862738,381768710356
251,parallel,Tiled,saxpy,COMPLETED,381665107783,381713844685,381713847012,381713848773
252,parallel,Tiled,matmul,COMPLETED,381665107876,381713848787,381713851078,381720708869
253,parallel,Tiled,saxpy,COMPLETED,381665107975,381713851331,381713853675,381713855401
254,parallel,Tiled,2mm,COMPLETED,381665108092,381768520093,381768524778,381775366597
255,parallel,Tiled,saxpy,COMPLETED,381665108180,381713855465,381713857771,381713859625
256,parallel,Tiled,2mm,COMPLETED,381665108307,381768553546,381768558351,381775400220
257,parallel,Tiled,saxpy,COMPLETED,381665108377,381713859639,381713861952,381713863783
258,parallel,Tiled,matmul,COMPLETED,381665108500,381713863807,381713866139,381720724011
259,parallel,Tiled,matmul,COMPLETED,381665108624,381713931782,381713934131,381720791733
260,parallel,Tiled,matmul,COMPLETED,381665108717,381713943367,381713945751,381720803020
261,parallel,Tiled,matmul,COMPLETED,381665108786,381713976641,381713978920,381720836330
262,parallel,Tiled,2mm,COMPLETED,381665108884,381768587494,381768592092,381775434111
263,parallel,Tiled,saxpy,COMPLETED,381665108955,381713998578,381714000933,381714002623
264,parallel,Tiled,matmul,COMPLETED,381665108984,381714002636,381714004926,381720862089
265,parallel,Tiled,2mm,COMPLETED,381665109151,381768710442,381768715075,381775556656
266,parallel,Tiled,2mm,COMPLETED,381665109194,381775366647,381775371333,381782206822
267,parallel,Tiled,saxpy,COMPLETED,381665109387,381714014152,381714016454,381714018181
268,parallel,Tiled,matmul,COMPLETED,381665109481,381714018208,381714020537,381720877521
269,parallel,Tiled,saxpy,COMPLETED,381665109636,381720656418,381720658752,381720660435
270,parallel,Tiled,matmul,COMPLETED,381665109715,381720660450,381720662775,381727512618
271,parallel,Tiled,saxpy,COMPLETED,381665109849,381720708904,381720711214,381720713023
272,parallel,Tiled,saxpy,COMPLETED,381665109941,381720713090,381720715432,381720717166
273,parallel,Tiled,2mm,COMPLETED,381665110041,381775400252,381775404921,381782240257
274,parallel,Tiled,matmul,COMPLETED,381665110172,381720717190,381720719601,381727569873
275,parallel,Tiled,2mm,COMPLETED,381665110409,381775434142,381775438874,381782274361
276,parallel,Tiled,saxpy,COMPLETED,381665110497,381720724044,381720726346,381720728121
277,parallel,Tiled,2mm,COMPLETED,381665110647,381775556712,381775561411,381782396893
278,parallel,Tiled,matmul,COMPLETED,381665110726,381720728145,381720730426,381727580595
279,parallel,Tiled,2mm,COMPLETED,381665110893,381782206972,381782211643,381789090585
280,parallel,Tiled,saxpy,COMPLETED,381665110994,381720791785,381720794071,381720795802
281,parallel,Tiled,matmul,COMPLETED,381665111188,381720795819,381720798201,381727648459
282,parallel,Tiled,matmul,COMPLETED,381665111416,381720803043,381720805424,381727655902
283,parallel,Tiled,saxpy,COMPLETED,381665111489,381720836366,381720838613,381720840314
284,parallel,Tiled,2mm,COMPLETED,381665111572,381782240290,381782245089,381789124215
285,parallel,Tiled,matmul,COMPLETED,381665111888,381720840349,381720842706,381727693135
286,parallel,Tiled,2mm,COMPLETED,381665113291,381782274403,381782279121,381789158212
287,parallel,Tiled,2mm,COMPLETED,381665114059,381782396929,381782401630,381789282137
288,parallel,Tiled,2mm,COMPLETED,381665114834,381789090635,381789095388,381795943280
289,parallel,Tiled,saxpy,COMPLETED,381665115963,381720862117,381720864500,381720866174
290,parallel,Tiled,saxpy,COMPLETED,381665116890,381720866244,381720868581,381720870266
291,parallel,Tiled,2mm,COMPLETED,381665117270,381789124362,381789129076,381795976949
292,parallel,Tiled,matmul,COMPLETED,381665118301,381720870302,381720872543,381727722677
293,parallel,Tiled,2mm,COMPLETED,381665118397,381789158259,381789162872,381796010598
294,parallel,Tiled,saxpy,COMPLETED,381665118963,381720877574,381720879840,381720881708
295,parallel,Tiled,2mm,COMPLETED,381665119148,381789282182,381789286977,381796136230
296,parallel,Tiled,2mm,COMPLETED,381665119529,381795943392,381795948017,381802220508
297,parallel,Tiled,2mm,COMPLETED,381665121154,381795976989,381795981779,381802251287
298,parallel,Tiled,2mm,COMPLETED,381665121913,381796010651,381796015451,381802281806
299,parallel,Tiled,2mm,COMPLETED,381665122869,381796136265,381796140903,381802397175
300,parallel,Tiled,saxpy,COMPLETED,381665123131,381720881732,381720884010,381720885911
301,parallel,Tiled,2mm,COMPLETED,381665125734,381796141225,381796145904,381802402391
302,parallel,Tiled,matmul,COMPLETED,381665126354,381720885970,381720888342,381727738740
303,parallel,Tiled,matmul,COMPLETED,381665127440,381727512655,381727515035,381734373808
304,parallel,Tiled,saxpy,COMPLETED,381665128774,381727569916,381727572303,381727574031
305,parallel,Tiled,2mm,COMPLETED,381665129609,381802220574,381802225197,381808487660
306,parallel,Tiled,matmul,COMPLETED,381665130095,381727574049,381727576338,381734435568
307,parallel,Tiled,matmul,COMPLETED,381665131585,381727580706,381727582992,381734442159
308,parallel,Tiled,matmul,COMPLETED,381665132542,381727648483,381727650845,381734509369
309,parallel,Tiled,saxpy,COMPLETED,381665132781,381727655952,381727658290,381727660012
310,parallel,Tiled,matmul,COMPLETED,381665132859,381727660029,381727662382,381734520930
311,parallel,Tiled,saxpy,COMPLETED,381665133176,381727693161,381727695497,381727697194
312,parallel,Tiled,saxpy,COMPLETED,381665133343,381727697210,381727699517,381727701450
